,address,lat,lon
182,"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",14.579643,120.989266
183,"RCM BLDG 1418 SAN MARCELINO ST ERMITA, MANILA",14.579643,120.989266
184,"U-D&E(GF),3F AND 5F CRI BLG, 665 PRES. QUIRINO AVE MALATE, MANILA",14.567841,120.989273
185,"5/F,EMI BLG, 1181 LEVERIZA ST COR PRES QUIRINO AVE MALATE, MANILA",14.567736,120.989298
186,"LOADSTAR BLDG 1294 ROMUALDEZ ST PACO, MANILA",14.581929,120.989386
187,"2/F NFWC BLDG 962 ESCODA COR SAN MARCELINO STS. ERMITA, MANILA",14.578253,120.989559
188,"7305 HOLY FAMILY COMPOUND, A. BONIFACIO ST SAN DIONISIO, PARA?AQUE",14.493676,120.9897
189,"2F #1417 GEN LUNA ST PACO, MANILA",14.579751,120.989754
190,"GF & 2F, NCCI SDV BLDG 1511 SN MARCELINO ST ERMITA, MANILA",14.577873,120.989758
191,"2ND FLOOR, 815 REMEDIOS STREET MALATE, MANILA",14.572373,120.989848
192,"1ST TO 3RD FLRS., 1853 TAFT AVENUE MALATE, MANILA",14.572731,120.989953
193,"UNITS C (GF) & D (2F), ELW BLDG, 1850 TAFT AVENUE MALATE, MANILA",14.572824,120.990065
194,"2F&3F,FIRST GILMORE BLG,11 RXS BLVD COR STA MONICA PASAY CITY",14.552084,120.990121
195,"UNITS E,F,G&H, 2/F, TOWER C, SUNTRUST ADRIATICO GA MALATE, MANILA",14.564474,120.99027
196,"GF 2F SANKO BLG 1631 SAN MARCELINO ST MALATE, MANILA",14.576681,120.990543
197,"S-GM(GF), D?A FELISA SYJUCO,1872 TAFT COR REMEDIOS MALATE, MANILA",14.572794,120.990751
198,"SUITE E, DO?A FELISA SYJUCO BLG, REMEDIOS COR TAFT MALATE, MANILA",14.572805,120.99076
199,"7/F, MARC BLDG, 1971 TAFT AVENUE MALATE, MANILA",14.570776,120.990903
200,"15/F AND UNITS 14A-1 & 14C (14F), MARC 2000 1973 T MALATE, MANILA",14.570515,120.991087
201,18/F MARC 2000 TOWER 1973 TAFT COR SAN ANDRES MANILA,14.570515,120.991087
202,"17F MARC 2000 BLDG, 1971 TAFT AVE COR PRES. QUIRIN MALATE, MANILA",14.57032,120.991262
203,"REMEDIOS TOWER, 1971 LEON GUINTO STREET MALATE, MANILA",14.573021,120.991305
204,"G/F (RECEPTION AREA)& 12/F 1965 LEON GUINTO STREET MALATE, MANILA",14.571843,120.991351
205,"12/F, IMET BPO, METROBANK AVENUE, METRO PARK PASAY CITY",14.540549,120.991359
206,"2F,3F & 4F, SWMC BLDG 124-126 SINCIEGO ST PASAY CITY",14.556915,120.991428
207,"SEC E,11/F RAMON MAGSAYSAY CTR 1680 ROXAS BLVD MALATE, MANILA",14.570199,120.991585
208,"SEC A, B, C , D & F (9/F) AND SEC A (14/F) RAMON MALATE, MANILA",14.570199,120.991585
209,"GF 2F 5F 6F 8F 9F & 10F BSM HOUSE 1965 L GUINTO ST MALATE, MANILA",14.571876,120.991602
210,"2159A&B TAFT BUSINESS CTR TAFT AVE MALATE, MANILA",14.569428,120.991728
211,"MEZZANINE FLOOR, SEA TOWER BLDG, ROXAS BLVD. COR. PASAY CITY",14.545813,120.991742
212,"U1001-1004,ASEANA 2 BLG, BRADCO AVE, ASEANA CITY PARA?AQUE",14.529006,120.991768
213,"GF,6F,8F&9F, ASEANA 2 BLG, BRADCO AVE ASEANA CITY PARA?AQUE",14.529006,120.991768
214,"UNIT 3, 8/F, ASEANA ONE, BRADCO AVENUE, ASEANA CIT PARA?AQUE",14.529006,120.991768
215,"GF,6F,8F&9F, ASEANA 2 BLG, BRADCO AVE, ASEANA CITY PARA?AQUE",14.529006,120.991768
216,"GF,6F,8/F&9F, ASEANA 2 BLG BRADCO AVE, ASEANA CITY PARA?AQUE",14.529006,120.991768
217,"G & 2F MBTC BLDG 900 QUIRINO AVE COR LEON GUINTO MALATE, MANILA",14.570711,120.991981
218,"915 PRES.QUIRINO AVE COR LEON GUINTO ST MALATE, MANILA",14.571652,120.992334
219,"U-4002-4007, 4F, ASEANA 2, BRADCO AVE, ASEANA CITY PARA?AQUE",14.529299,120.992437
220,"2ND & 3RD FLOORS, THE GREGORIAN BLDG 2178 TAFT AVE MANILA",14.568749,120.992606
221,"5F & 6F, THE GREGORIAN BLG, 2178 TAFT AVE MALATE, MANILA",14.568749,120.992606
222,"3/F & 4/F NAESS HOUSE 2215 L.GUINTO MALATE, MANILA",14.568908,120.992975
223,"G/F AND 2/F, NAESS HOUSE 2215 L.GUINTO ST MALATE M MALATE, MANILA",14.568908,120.992975
224,"4/F NAESS HOUSE 2215 LEON GUINTO ST MALATE, MANILA",14.568908,120.992975
225,"U102 1F MARLOW BLDG 2120 LEON GUINTO ST MALATE, MANILA",14.570169,120.993191
226,"MARLOW BLDG. 2120 LEON GUINTO ST. MALATE, MANILA",14.570169,120.993191
227,"U-207A-B, SHERWOOD PLCE COMML CTR 2264 TAFT AVE MALATE, MANILA",14.567674,120.993323
228,"2019 SAN MARCELINO STREET MALATE, MANILA",14.571688,120.993339
229,"GF, 925-C ARAGON COR LEON GUINTO STS MALATE, MANILA",14.569715,120.993413
230,"2F, MJ BLDG, 2014 SAN MARCELINO ST MALATE, MANILA",14.571949,120.993525
231,"4F, 5F & 6F, ATLANTIS BEACON TOWER, 2315 L. GUINT MALATE, MANILA",14.567577,120.993704
232,"UNIT B (GF & 2F), 2296 LEON GUINTO ST MALATE, MANILA",14.568063,120.993838
233,"2440-D, 2F PALM COURT ST COR F B HARRISON ST PASAY CITY",14.545328,120.994389
234,"1977-A1 A LINAO ST MALATE, MANILA",14.572913,120.995227
235,"1977 A.LINAO STREET MALATE, MANILA",14.572913,120.995227
236,"GF, 2F & 4/F, 1802 J.NAKPIL COR SN MARCELINO STS MALATE, MANILA",14.574968,120.995342
237,"UNIT N, VIOLETA COURT, 2814 FB HARRISON ST. PASAY CITY",14.538514,120.995705
238,"2ND FLOOR, UNIT A, CARATLAND BLDG, 1941 TAFT AVENU PASAY CITY",14.556777,120.996387
239,"UNIT D JADE VILLA II, 556 QUIRINO AVE TAMBO, PARA?AQUE",14.520038,120.996413
240,"784-A, QUIRINO AVENUE, BRGY. TAMBO PARA?AQUE",14.518792,120.996448
241,"RS314,TAFT CENT EXCHANGE MALL, TAFT COR GIL PUYAT PASAY CITY",14.553475,120.996998
242,"UNITS 5&6, 1049 C. AYALA ST COR ARELLANO AVE MALATE, MANILA",14.565503,120.998081
243,"*3/F BARKO BLDG 1014 PABLO OCAMPO ST MALATE, MANILA",14.564016,120.998413
244,"215,216&217 2F SKYFREIGHT BLDG NINOY AQUINO AVENUE PARA?AQUE",14.502679,120.998753
245,STALL 15 4F WELLCOME PLAZA 2410-2432 TAFT LIBERTAD PASAY CITY,14.546644,120.998925
246,"GF PAMCOR BLG, PASCOR DRIVE, BGY STO. NI?O, PARA?AQUE",14.510687,120.99906
247,"U301-303 3F KRISAMBET BLG 1015 ZOBEL ROXAS ST. MALATE, MANILA",14.562265,120.999209
248,"GF (RW),2F & 3F, 4723 ARELLANO COR ZOBEL ROXAS STS PALANAN, MAKATI",14.56195,120.999271
249,"G/F, NO. 4598 J. DELA CRUZ COR CASINO STREETS PALANAN, MAKATI",14.560258,120.99928
250,"3/F F&C BLDG. 2110 GIL PUYAT AVE., PASAY CITY",14.554374,120.999491
251,"2/F 1751 DIAN ST. PALANAN, MAKATI",14.566754,120.999566
252,"UNITS 1001, 1002 & 1017, ESPA?A TOWER, ESPA?A BLVD SAMPALOC, MANILA",14.617,120.999878
